geo_code1,geo_code2,car,foot,public,other,bike,all
1,1,128,25384,0,0,0,25512
1,2,86,4676,167,0,0,4929
1,3,0,3429,485,0,0,3914
1,4,192,1151,233,98,0,1674
1,5,39,3225,301,67,86,3718
1,6,152,2629,280,0,0,3061
1,7,0,19,0,234,0,253
1,8,0,0,90,0,0,90
1,9,0,0,101,0,0,101
1,10,0,0,161,0,0,161
1,12,43,0,0,0,0,43
1,13,0,0,12,0,0,12
1,14,0,30,18,0,0,48
1,16,111,924,624,122,0,1781
1,17,0,0,150,0,0,150
1,18,299,0,460,0,0,759
1,19,403,22,273,0,0,698
1,20,22,254,739,83,0,1098
1,21,59,0,373,0,0,432
1,22,0,0,433,103,0,536
1,23,869,0,1016,393,0,2278
1,24,0,1380,897,37,0,2314
1,25,0,240,0,0,0,240
1,26,0,115,331,0,0,446
1,27,0,0,636,81,0,717
1,28,0,60,798,26,0,884
1,29,0,0,138,33,0,171
1,30,227,43,271,0,0,541
1,31,0,128,605,0,0,733
1,32,21,0,383,0,0,404
1,34,23,0,192,0,0,215
1,35,0,0,1489,0,0,1489
1,36,64,0,1163,0,0,1227
1,37,0,0,667,0,0,667
1,38,0,0,29,0,0,29
1,39,0,0,181,0,0,181
1,40,64,0,69,0,0,133
1,41,0,0,657,0,0,657
1,43,160,0,624,0,0,784
1,44,0,0,244,0,0,244
1,45,0,0,442,0,0,442
1,47,0,0,383,0,0,383
1,48,0,0,445,0,0,445
1,49,0,0,206,0,0,206
1,50,0,0,24,0,0,24
1,51,193,0,440,0,0,633
1,52,61,0,485,0,0,546
1,53,0,0,19,0,0,19
1,54,0,0,149,0,0,149
1,56,0,0,224,0,0,224
1,57,0,0,350,0,0,350
1,58,0,0,546,0,0,546
1,59,0,0,267,0,0,267
1,60,0,0,664,0,0,664
1,61,415,0,586,0,0,1001
1,62,49,0,56,0,0,105
1,63,0,0,63,0,0,63
1,64,0,0,95,0,0,95
1,65,116,0,244,0,0,360
1,66,0,0,103,0,0,103
1,67,161,0,60,0,0,221
1,68,0,0,396,0,0,396
1,74,0,0,93,0,0,93
1,75,0,0,258,0,0,258
1,76,38,0,148,72,0,258
1,77,0,0,43,0,0,43
1,78,203,0,222,102,0,527
1,79,0,0,386,0,0,386
1,80,0,0,442,0,0,442
1,81,0,0,37,0,0,37
1,82,31,0,83,0,0,114
1,83,69,0,589,0,0,658
1,84,51,0,43,51,0,145
1,85,0,0,12,0,0,12
1,87,67,0,33,0,0,100
1,88,0,0,389,404,0,793
1,89,0,0,72,0,0,72
1,90,0,0,128,0,0,128
1,92,0,0,4,0,0,4
1,93,0,0,879,0,0,879
1,96,0,0,134,0,0,134
1,97,0,0,116,0,0,116
1,100,150,0,0,0,0,150
1,101,0,0,321,0,0,321
1,102,0,0,217,0,0,217
1,103,0,0,11,0,0,11
1,104,21,0,0,0,0,21
1,105,150,0,184,0,0,334
1,106,0,0,0,60,0,60
1,107,0,0,108,0,0,108
1,108,0,0,14,0,0,14
1,236,33,0,414,0,59,506
1,237,26,0,70,0,0,96
1,238,0,0,309,0,0,309
1,239,0,0,345,0,0,345
1,240,0,0,434,206,0,640
1,241,53,0,0,0,0,53
1,250,0,0,123,0,0,123
1,251,0,0,200,0,0,200
1,252,105,0,380,0,0,485
1,254,0,0,1181,0,0,1181
2,1,86,5061,79,0,0,5226
2,2,0,12436,0,0,0,12436
2,3,0,1805,0,0,331,2136
2,4,0,474,93,0,0,567
2,5,612,775,193,0,0,1580
2,6,0,2109,1085,257,0,3451
2,7,0,1976,342,0,0,2318
2,9,92,66,92,0,0,250
2,11,0,0,12,0,0,12
2,12,0,0,347,0,0,347
2,13,0,111,15,0,0,126
2,14,16,0,476,0,0,492
2,15,0,0,351,0,0,351
2,16,0,408,193,0,0,601
2,17,0,863,127,143,0,1133
2,18,128,0,299,0,0,427
2,19,0,0,28,0,0,28
2,20,0,138,425,0,212,775
2,22,0,178,67,0,0,245
2,23,0,63,141,0,41,245
2,24,0,175,517,0,0,692
2,25,0,74,325,0,0,399
2,26,0,0,139,0,0,139
2,27,60,0,169,60,0,289
2,30,64,58,0,64,0,186
2,31,128,0,612,49,0,789
2,32,0,0,190,0,0,190
2,33,15,0,17,0,0,32
2,34,0,0,42,77,0,119
2,35,0,0,0,40,0,40
2,36,0,0,131,0,0,131
2,37,0,0,93,0,0,93
2,38,0,0,0,35,0,35
2,39,0,0,85,0,0,85
2,41,1364,0,90,0,0,1454
2,42,0,24,30,0,0,54
2,43,63,0,174,63,0,300
2,44,455,0,165,0,0,620
2,45,240,0,1300,0,0,1540
2,48,247,0,269,0,0,516
2,49,0,0,197,0,0,197
2,50,0,0,98,74,0,172
2,51,104,0,93,0,0,197
2,53,0,0,58,0,0,58
2,54,0,0,268,0,0,268
2,55,0,0,14,0,0,14
2,56,0,0,381,0,0,381
2,57,0,0,171,0,0,171
2,58,100,0,615,0,0,715
2,59,0,0,1213,0,0,1213
2,60,0,0,386,0,0,386
2,62,26,0,0,0,0,26
2,64,274,0,104,0,0,378
2,65,0,0,104,0,0,104
2,66,58,0,0,0,0,58
2,67,0,0,88,0,0,88
2,68,0,0,281,0,0,281
2,69,80,0,0,0,0,80
2,70,84,0,160,0,0,244
2,74,0,0,489,0,0,489
2,75,46,0,126,0,0,172
2,77,0,0,188,0,0,188
2,78,102,0,52,0,0,154
2,79,105,0,57,0,0,162
2,80,26,0,88,0,64,178
2,81,0,0,92,0,0,92
2,82,0,0,421,0,0,421
2,83,0,0,69,0,0,69
2,84,0,0,270,0,0,270
2,85,0,0,11,0,0,11
2,86,0,0,64,0,0,64
2,88,0,0,413,0,0,413
2,90,0,0,0,0,89,89
2,93,100,0,44,0,0,144
2,95,37,0,75,0,0,112
2,96,66,0,0,0,0,66
2,97,70,0,0,0,0,70
2,99,0,0,208,0,0,208
2,100,0,0,150,0,0,150
2,101,0,0,166,0,0,166
2,103,0,0,20,0,0,20
2,105,0,0,78,0,0,78
2,106,0,0,60,0,0,60
2,107,0,0,99,0,0,99
2,236,0,0,15,0,0,15
2,237,26,0,0,0,0,26
2,239,107,0,116,0,0,223
2,241,0,0,126,0,0,126
2,250,254,0,396,0,0,650
3,1,0,3665,485,0,0,4150
3,2,0,1805,0,0,331,2136
3,3,0,12004,0,0,0,12004
3,4,0,198,0,0,0,198
3,5,156,0,156,39,0,351
3,6,0,156,0,0,0,156
3,7,0,0,78,0,0,78
3,8,0,0,156,0,0,156
3,12,0,0,170,0,0,170
3,15,0,320,393,0,0,713
3,16,0,0,569,68,0,637
3,17,0,106,0,0,0,106
3,18,184,556,170,0,0,910
3,20,0,307,465,312,0,1084
3,21,904,0,250,0,0,1154
3,23,0,88,145,0,0,233
3,24,0,4433,0,0,0,4433
3,25,0,0,225,60,0,285
3,26,0,127,515,90,0,732
3,27,355,0,46,0,0,401
3,28,38,0,38,0,0,76
3,29,0,0,236,0,0,236
3,30,405,0,0,0,0,405
3,31,87,0,30,0,0,117
3,32,0,0,466,0,0,466
3,33,31,0,0,0,0,31
3,34,39,0,0,0,0,39
3,35,135,0,0,0,0,135
3,36,0,0,663,0,0,663
3,38,0,0,35,0,0,35
3,43,126,0,238,509,0,873
3,49,0,0,439,244,0,683
3,50,0,0,507,0,0,507
3,52,0,0,61,0,0,61
3,53,0,0,138,0,0,138
3,54,0,0,37,0,0,37
3,56,0,0,32,0,0,32
3,57,434,0,199,90,0,723
3,58,0,0,200,0,0,200
3,59,0,0,481,0,0,481
3,61,724,0,0,0,0,724
3,62,0,0,27,0,0,27
3,64,0,0,352,0,0,352
3,66,0,0,118,0,0,118
3,67,0,0,171,80,0,251
3,68,0,0,95,0,0,95
3,69,0,0,253,80,0,333
3,74,0,0,656,0,0,656
3,76,309,0,38,0,0,347
3,78,0,0,0,176,0,176
3,79,116,0,82,0,0,198
3,81,111,0,115,0,0,226
3,82,0,0,436,0,0,436
3,83,0,0,443,0,0,443
3,84,51,0,47,45,0,143
3,85,0,0,24,47,0,71
3,87,33,0,240,0,0,273
3,90,0,0,123,0,0,123
3,92,0,0,867,0,0,867
3,93,0,0,0,312,0,312
3,94,0,0,31,0,0,31
3,96,0,0,27,0,0,27
3,103,0,0,32,0,0,32
3,237,0,0,26,0,0,26
3,239,0,0,610,0,0,610
3,240,0,0,109,0,0,109
3,241,0,0,26,0,0,26
3,250,0,0,118,0,0,118
3,251,0,0,645,0,0,645
3,254,0,0,351,0,0,351
4,1,0,949,0,98,0,1047
4,2,0,327,101,214,0,642
4,3,0,198,0,0,0,198
4,4,372,11811,0,0,0,12183
4,5,0,2190,0,455,287,2932
4,8,159,159,90,0,0,408
4,15,0,0,214,0,0,214
4,16,0,0,178,0,0,178
4,17,0,0,64,0,0,64
4,18,198,0,0,0,0,198
4,20,913,0,0,0,0,913
4,21,0,0,206,0,0,206
4,22,0,0,73,0,0,73
4,24,276,445,0,0,0,721
4,25,0,3850,0,0,0,3850
4,26,0,1347,0,0,94,1441
4,27,619,970,0,913,0,2502
4,28,0,0,102,0,0,102
4,29,127,300,0,0,0,427
4,30,64,0,0,58,660,782
4,31,2147,2767,487,0,0,5401
4,32,21,562,272,0,0,855
4,33,0,0,8,0,0,8
4,34,0,77,42,0,43,162
4,35,162,744,1565,0,0,2471
4,36,0,131,466,0,0,597
4,40,0,0,18,0,0,18
4,43,0,0,742,0,0,742
4,45,0,0,246,0,0,246
